Time(s), Setpoint, Measurement, Output, Kp, Zone, Mu
7.75, 63.13, 99.40, 47.11, 1.00, 0, 0.204
7.76, 63.25, 99.53, 47.07, 1.00, 0, 0.204
7.77, 63.38, 99.67, 47.02, 1.00, 0, 0.204
7.78, 63.50, 99.80, 46.97, 1.00, 0, 0.205
7.79, 63.62, 99.94, 46.92, 1.00, 0, 0.205
7.80, 63.75, 100.07, 46.87, 1.00, 0, 0.205
7.81, 63.87, 100.21, 46.83, 1.00, 0, 0.206
7.82, 63.99, 100.34, 46.78, 1.00, 0, 0.206
7.83, 64.12, 100.47, 46.73, 1.00, 0, 0.206
7.84, 64.24, 100.61, 46.69, 1.00, 0, 0.207
7.85, 64.36, 100.74, 46.64, 1.00, 0, 0.207
7.86, 64.49, 100.87, 46.59, 1.00, 0, 0.208
7.87, 64.61, 101.00, 46.55, 1.00, 0, 0.208
7.88, 64.73, 101.14, 46.50, 1.00, 0, 0.209
7.89, 64.85, 101.27, 46.46, 1.00, 0, 0.209
7.90, 64.97, 101.40, 46.41, 1.00, 0, 0.209
7.91, 65.10, 101.53, 46.36, 1.00, 0, 0.210
7.92, 65.22, 101.66, 46.32, 1.00, 0, 0.210
7.93, 65.34, 101.79, 46.27, 1.00, 0, 0.211
7.94, 65.46, 101.92, 46.23, 1.00, 0, 0.211
7.95, 65.58, 102.05, 46.18, 1.00, 0, 0.212
7.96, 65.70, 102.18, 46.14, 1.00, 0, 0.212
7.97, 65.82, 102.30, 46.09, 1.00, 0, 0.213
7.98, 65.94, 102.43, 46.05, 1.00, 0, 0.214
7.99, 66.06, 102.56, 46.01, 1.00, 0, 0.214
8.00, 66.18, 102.69, 45.96, 1.00, 0, 0.215
8.01, 66.30, 102.81, 45.92, 1.00, 0, 0.215
8.02, 66.42, 102.94, 45.87, 1.00, 0, 0.216
8.03, 66.54, 103.07, 45.83, 1.00, 0, 0.216
8.04, 66.66, 103.19, 45.79, 1.00, 0, 0.217
8.05, 66.77, 103.32, 45.74, 1.00, 0, 0.218
8.06, 66.89, 103.44, 45.70, 1.00, 0, 0.218
8.07, 67.01, 103.57, 45.65, 1.00, 0, 0.219
8.08, 67.13, 103.69, 45.61, 1.00, 0, 0.220
8.09, 67.25, 103.82, 45.57, 1.00, 0, 0.220
8.10, 67.36, 103.94, 45.52, 1.00, 0, 0.221
8.11, 67.48, 104.06, 45.48, 1.00, 0, 0.222
8.12, 67.60, 104.19, 45.44, 1.00, 0, 0.222
8.13, 67.71, 104.31, 45.39, 1.00, 0, 0.223
8.14, 67.83, 104.43, 45.35, 1.00, 0, 0.224
8.15, 67.94, 104.55, 45.31, 1.00, 0, 0.225
8.16, 68.06, 104.68, 45.26, 1.00, 0, 0.225
8.17, 68.17, 104.80, 45.22, 1.00, 0, 0.226
8.18, 68.29, 104.92, 45.18, 1.00, 0, 0.227
8.19, 68.40, 105.04, 45.13, 1.00, 0, 0.228
8.20, 68.52, 105.16, 45.09, 1.00, 0, 0.229
8.21, 68.63, 105.28, 45.04, 1.00, 0, 0.229
8.22, 68.74, 105.40, 45.00, 1.00, 0, 0.230
8.23, 68.86, 105.52, 44.96, 1.00, 0, 0.231
8.24, 68.97, 105.64, 44.91, 1.00, 0, 0.232
8.25, 69.08, 105.76, 44.87, 1.00, 0, 0.233
8.26, 69.19, 105.87, 44.83, 1.00, 0, 0.234
8.27, 69.30, 105.99, 44.78, 1.00, 0, 0.234
8.28, 69.41, 106.11, 44.74, 1.00, 0, 0.235
8.29, 69.52, 106.23, 44.70, 1.00, 0, 0.236
8.30, 69.64, 106.34, 44.65, 1.00, 0, 0.237
8.31, 69.74, 106.46, 44.61, 1.00, 0, 0.238
8.32, 69.85, 106.58, 44.57, 1.00, 0, 0.239
8.33, 69.96, 106.69, 44.52, 1.00, 0, 0.240
8.34, 70.07, 106.81, 44.48, 1.00, 0, 0.241
8.35, 70.18, 106.92, 44.43, 1.00, 0, 0.242
8.36, 70.29, 107.04, 44.39, 1.00, 0, 0.243
8.37, 70.40, 107.15, 44.35, 1.00, 0, 0.244
8.38, 70.50, 107.27, 44.30, 1.00, 0, 0.245
8.39, 70.61, 107.38, 44.26, 1.00, 0, 0.246
8.40, 70.72, 107.50, 44.21, 1.00, 0, 0.247
8.41, 70.82, 107.61, 44.17, 1.00, 0, 0.248
8.42, 70.93, 107.72, 44.12, 1.00, 0, 0.249
8.43, 71.03, 107.84, 44.08, 1.00, 0, 0.250
8.44, 71.14, 107.95, 44.03, 1.00, 0, 0.251
8.45, 71.24, 108.06, 43.99, 1.00, 0, 0.252
8.46, 71.35, 108.17, 43.94, 1.00, 0, 0.253
8.47, 71.45, 108.28, 43.90, 1.00, 0, 0.254
8.48, 71.55, 108.39, 43.85, 1.00, 0, 0.255
8.49, 71.65, 108.50, 43.81, 1.00, 0, 0.256
8.50, 71.76, 108.61, 43.76, 1.00, 0, 0.257
8.51, 71.86, 108.72, 43.72, 1.00, 0, 0.258
8.52, 71.96, 108.83, 43.67, 1.00, 0, 0.260
8.53, 72.06, 108.94, 43.63, 1.00, 0, 0.261
8.54, 72.16, 109.05, 43.58, 1.00, 0, 0.262
8.55, 72.26, 109.16, 43.53, 1.00, 0, 0.263
8.56, 72.36, 109.27, 43.49, 1.00, 0, 0.264
8.57, 72.46, 109.38, 43.44, 1.00, 0, 0.265
8.58, 72.55, 109.49, 43.39, 1.00, 0, 0.266
8.59, 72.65, 109.59, 43.35, 1.00, 0, 0.268
8.60, 72.75, 109.70, 43.30, 1.00, 0, 0.269
8.61, 72.84, 109.81, 43.25, 1.00, 0, 0.270
8.62, 72.94, 109.91, 43.21, 1.00, 0, 0.271
8.63, 73.04, 110.02, 43.16, 1.00, 0, 0.272
8.64, 73.13, 110.12, 43.11, 1.00, 0, 0.274
8.65, 73.23, 110.23, 43.06, 1.00, 0, 0.275
8.66, 73.32, 110.33, 43.01, 1.00, 0, 0.276
8.67, 73.41, 110.44, 42.97, 1.00, 0, 0.277
8.68, 73.51, 110.54, 42.92, 1.00, 0, 0.279
8.69, 73.60, 110.65, 42.87, 1.00, 0, 0.280
8.70, 73.69, 110.75, 42.82, 1.00, 0, 0.281
8.71, 73.78, 110.85, 42.77, 1.00, 0, 0.283
8.72, 73.87, 110.96, 42.72, 1.00, 0, 0.284
8.73, 73.96, 111.06, 42.67, 1.00, 0, 0.285
8.74, 74.05, 111.16, 42.62, 1.00, 0, 0.287
8.75, 74.14, 111.26, 42.57, 1.00, 0, 0.288
8.76, 74.23, 111.36, 42.52, 1.00, 0, 0.289
8.77, 74.32, 111.46, 42.47, 1.00, 0, 0.291
8.78, 74.41, 111.56, 42.42, 1.00, 0, 0.292
8.79, 74.49, 111.66, 42.37, 1.00, 0, 0.293
8.80, 74.58, 111.76, 42.32, 1.00, 0, 0.295
8.81, 74.67, 111.86, 42.27, 1.00, 0, 0.296
8.82, 74.75, 111.96, 42.22, 1.00, 0, 0.297
8.83, 74.83, 112.06, 42.16, 1.00, 0, 0.299
8.84, 74.92, 112.16, 42.11, 1.00, 0, 0.300
8.85, 75.00, 112.26, 42.06, 1.00, 0, 0.302
8.86, 75.08, 112.36, 42.01, 1.00, 0, 0.303
8.87, 75.17, 112.45, 41.96, 1.00, 0, 0.304
8.88, 75.25, 112.55, 41.90, 1.00, 0, 0.306
8.89, 75.33, 112.65, 41.85, 1.00, 0, 0.307
8.90, 75.41, 112.74, 41.80, 1.00, 0, 0.309
8.91, 75.49, 112.84, 41.74, 1.00, 0, 0.310
8.92, 75.57, 112.94, 41.69, 1.00, 0, 0.312
8.93, 75.65, 113.03, 41.63, 1.00, 0, 0.313
8.94, 75.73, 113.13, 41.58, 1.00, 0, 0.315
8.95, 75.80, 113.22, 41.52, 1.00, 0, 0.316
8.96, 75.88, 113.31, 41.47, 1.00, 0, 0.318
8.97, 75.96, 113.41, 41.41, 1.00, 0, 0.319
8.98, 76.03, 113.50, 41.36, 1.00, 0, 0.321
8.99, 76.11, 113.59, 41.30, 1.00, 0, 0.322
9.00, 76.18, 113.69, 41.25, 1.00, 0, 0.324
9.01, 76.25, 113.78, 41.19, 1.00, 0, 0.325
9.02, 76.33, 113.87, 41.13, 1.00, 0, 0.327
9.03, 76.40, 113.96, 41.08, 1.00, 0, 0.328
9.04, 76.47, 114.05, 41.02, 1.00, 0, 0.330
9.05, 76.54, 114.14, 40.96, 1.00, 0, 0.331
9.06, 76.61, 114.24, 40.90, 1.00, 0, 0.333
9.07, 76.68, 114.33, 40.84, 1.00, 0, 0.335
9.08, 76.75, 114.41, 40.79, 1.00, 0, 0.336
9.09, 76.82, 114.50, 40.73, 1.00, 0, 0.338
9.10, 76.89, 114.59, 40.67, 1.00, 0, 0.339
9.11, 76.95, 114.68, 40.61, 1.00, 0, 0.341
9.12, 77.02, 114.77, 40.55, 1.00, 0, 0.342
9.13, 77.09, 114.86, 40.49, 1.00, 0, 0.344
9.14, 77.15, 114.94, 40.43, 1.00, 0, 0.346
9.15, 77.21, 115.03, 40.37, 1.00, 0, 0.347
9.16, 77.28, 115.12, 40.31, 1.00, 0, 0.349
9.17, 77.34, 115.20, 40.24, 1.00, 0, 0.351
9.18, 77.40, 115.29, 40.18, 1.00, 0, 0.352
9.19, 77.47, 115.37, 40.12, 1.00, 0, 0.354
9.20, 77.53, 115.46, 40.06, 1.00, 0, 0.355
9.21, 77.59, 115.54, 40.00, 1.00, 0, 0.357
9.22, 77.65, 115.63, 39.93, 1.00, 0, 0.359
9.23, 77.70, 115.71, 39.87, 1.00, 0, 0.360
9.24, 77.76, 115.80, 39.81, 1.00, 0, 0.362
9.25, 77.82, 115.88, 39.74, 1.00, 0, 0.364
9.26, 77.88, 115.96, 39.68, 1.00, 0, 0.365
9.27, 77.93, 116.04, 39.61, 1.00, 0, 0.367
9.28, 77.99, 116.12, 39.55, 1.00, 0, 0.369
9.29, 78.04, 116.21, 39.48, 1.00, 0, 0.371
9.30, 78.10, 116.29, 39.42, 1.00, 0, 0.372
9.31, 78.15, 116.37, 39.35, 1.00, 0, 0.374
9.32, 78.20, 116.45, 39.29, 1.00, 0, 0.376
9.33, 78.25, 116.53, 39.22, 1.00, 0, 0.377
9.34, 78.30, 116.61, 39.15, 1.00, 0, 0.379
9.35, 78.36, 116.69, 39.09, 1.00, 0, 0.381
9.36, 78.40, 116.76, 39.02, 1.00, 0, 0.383
9.37, 78.45, 116.84, 38.95, 1.00, 0, 0.384
9.38, 78.50, 116.92, 38.88, 1.00, 0, 0.386
9.39, 78.55, 117.00, 38.81, 1.00, 0, 0.388
9.40, 78.60, 117.07, 38.74, 1.00, 0, 0.390
9.41, 78.64, 117.15, 38.67, 1.00, 0, 0.391
9.42, 78.69, 117.23, 38.61, 1.00, 0, 0.393
9.43, 78.73, 117.30, 38.54, 1.00, 0, 0.395
9.44, 78.77, 117.38, 38.47, 1.00, 0, 0.397
9.45, 78.82, 117.45, 38.39, 1.00, 0, 0.398
9.46, 78.86, 117.52, 38.32, 1.00, 0, 0.400
9.47, 78.90, 117.60, 38.25, 1.00, 0, 0.402
9.48, 78.94, 117.67, 38.18, 1.00, 0, 0.404
9.49, 78.98, 117.74, 38.11, 1.00, 0, 0.406
9.50, 79.02, 117.82, 38.04, 1.00, 0, 0.407
9.51, 79.06, 117.89, 37.96, 1.00, 0, 0.409
9.52, 79.10, 117.96, 37.89, 1.00, 0, 0.411
9.53, 79.13, 118.03, 37.82, 1.00, 0, 0.413
9.54, 79.17, 118.10, 37.74, 1.00, 0, 0.414
9.55, 79.21, 118.17, 37.67, 1.00, 0, 0.416
9.56, 79.24, 118.24, 37.59, 1.00, 0, 0.418
9.57, 79.27, 118.31, 37.52, 1.00, 0, 0.420
9.58, 79.31, 118.38, 37.44, 1.00, 0, 0.422
9.59, 79.34, 118.45, 37.37, 1.00, 0, 0.424
9.60, 79.37, 118.52, 37.29, 1.00, 0, 0.425
9.61, 79.40, 118.58, 37.22, 1.00, 0, 0.427
9.62, 79.43, 118.65, 37.14, 1.00, 0, 0.429
9.63, 79.46, 118.72, 37.06, 1.00, 0, 0.431
9.64, 79.49, 118.78, 36.99, 1.00, 0, 0.433
9.65, 79.52, 118.85, 36.91, 1.00, 0, 0.435
9.66, 79.55, 118.92, 36.83, 1.00, 0, 0.436
9.67, 79.57, 118.98, 36.75, 1.00, 0, 0.438
9.68, 79.60, 119.04, 36.67, 1.00, 0, 0.440
9.69, 79.62, 119.11, 36.59, 1.00, 0, 0.442
9.70, 79.65, 119.17, 36.51, 1.00, 0, 0.444
9.71, 79.67, 119.24, 36.43, 1.00, 0, 0.446
9.72, 79.69, 119.30, 36.35, 1.00, 0, 0.447
9.73, 79.71, 119.36, 36.27, 1.00, 0, 0.449
9.74, 79.73, 119.42, 36.19, 1.00, 0, 0.451
9.75, 79.75, 119.48, 36.11, 1.00, 0, 0.453
9.76, 79.77, 119.54, 36.03, 1.00, 0, 0.455
9.77, 79.79, 119.60, 35.95, 1.00, 0, 0.457
9.78, 79.81, 119.66, 35.87, 1.00, 0, 0.459
9.79, 79.83, 119.72, 35.78, 1.00, 0, 0.461
9.80, 79.84, 119.78, 35.70, 1.00, 0, 0.462
9.81, 79.86, 119.84, 35.62, 1.00, 0, 0.464
9.82, 79.87, 119.90, 35.53, 1.00, 0, 0.466
9.83, 79.89, 119.95, 35.45, 1.00, 0, 0.468
9.84, 79.90, 120.01, 35.36, 1.00, 0, 0.470
9.85, 79.91, 120.07, 35.28, 1.00, 0, 0.472
9.86, 79.92, 120.12, 35.19, 1.00, 0, 0.474
9.87, 79.93, 120.18, 35.11, 1.00, 0, 0.476
9.88, 79.94, 120.23, 35.02, 1.00, 0, 0.477
9.89, 79.95, 120.29, 34.94, 1.00, 0, 0.479
9.90, 79.96, 120.34, 34.85, 1.00, 0, 0.481
9.91, 79.97, 120.40, 34.76, 1.00, 0, 0.483
9.92, 79.97, 120.45, 34.68, 1.00, 0, 0.485
9.93, 79.98, 120.50, 34.59, 1.00, 0, 0.487
9.94, 79.99, 120.55, 34.50, 1.00, 0, 0.489
9.95, 79.99, 120.60, 34.41, 1.00, 0, 0.491
9.96, 79.99, 120.66, 34.32, 1.00, 0, 0.492
9.97, 80.00, 120.71, 34.24, 1.00, 0, 0.494
9.98, 80.00, 120.76, 34.15, 1.00, 0, 0.496
9.99, 80.00, 120.81, 34.06, 1.00, 0, 0.498
10.00, 80.00, 120.86, 33.97, 1.00, 0, 0.500
10.01, 80.00, 120.90, 33.88, 1.00, 0, 0.502
10.02, 80.00, 120.95, 33.79, 1.00, 0, 0.504
10.03, 80.00, 121.00, 33.70, 1.00, 0, 0.506
10.04, 79.99, 121.05, 33.60, 1.00, 0, 0.508
10.05, 79.99, 121.09, 33.51, 1.00, 0, 0.509
10.06, 79.99, 121.14, 33.42, 1.00, 0, 0.511
10.07, 79.98, 121.18, 33.33, 1.00, 0, 0.513
10.08, 79.97, 121.23, 33.24, 1.00, 0, 0.515
10.09, 79.97, 121.27, 33.14, 1.00, 0, 0.517
10.10, 79.96, 121.32, 33.05, 1.00, 0, 0.519
10.11, 79.95, 121.36, 32.96, 1.00, 0, 0.521
10.12, 79.94, 121.40, 32.86, 1.00, 0, 0.523
10.13, 79.93, 121.45, 32.77, 1.00, 0, 0.524
10.14, 79.92, 121.49, 32.67, 1.00, 0, 0.526
10.15, 79.91, 121.53, 32.58, 1.00, 0, 0.528
10.16, 79.90, 121.57, 32.48, 1.00, 0, 0.530
10.17, 79.89, 121.61, 32.39, 1.00, 0, 0.532
10.18, 79.87, 121.65, 32.29, 1.00, 0, 0.534
10.19, 79.86, 121.69, 32.19, 1.00, 0, 0.536
10.20, 79.84, 121.73, 32.10, 1.00, 0, 0.538
10.21, 79.83, 121.77, 32.00, 1.00, 0, 0.539
10.22, 79.81, 121.80, 31.90, 1.00, 0, 0.541
10.23, 79.79, 121.84, 31.81, 1.00, 0, 0.543
10.24, 79.77, 121.88, 31.71, 1.00, 0, 0.545
10.25, 79.75, 121.92, 31.61, 1.00, 0, 0.547
10.26, 79.73, 121.95, 31.51, 1.00, 0, 0.549
10.27, 79.71, 120.83, -200.00, 3.00, 1, 0.551
10.28, 79.69, 119.71, -200.00, 3.00, 1, 0.553
10.29, 79.67, 118.59, -198.73, 3.00, 1, 0.554
10.30, 79.65, 117.51, -194.01, 3.00, 1, 0.556
10.31, 79.62, 116.44, -190.09, 3.00, 1, 0.558
10.32, 79.60, 115.39, -186.67, 3.00, 1, 0.560
10.33, 79.57, 114.36, -183.55, 3.00, 1, 0.562
10.34, 79.55, 113.34, -180.64, 3.00, 1, 0.564
10.35, 79.52, 112.33, -177.86, 3.00, 1, 0.565
10.36, 79.49, 111.35, -175.17, 3.00, 1, 0.567
10.37, 79.46, 110.37, -172.55, 3.00, 1, 0.569
10.38, 79.43, 109.41, -170.00, 3.00, 1, 0.571
10.39, 79.40, 108.47, -167.49, 3.00, 1, 0.573
10.40, 79.37, 107.53, -165.02, 3.00, 1, 0.575
10.41, 79.34, 106.61, -162.59, 3.00, 1, 0.576
10.42, 79.31, 105.70, -160.20, 3.00, 1, 0.578
10.43, 79.27, 104.81, -157.85, 3.00, 1, 0.580
10.44, 79.24, 103.93, -155.53, 3.00, 1, 0.582
10.45, 79.21, 103.06, -153.24, 3.00, 1, 0.584
10.46, 79.17, 102.20, -150.99, 3.00, 1, 0.586
10.47, 79.13, 101.35, -148.77, 3.00, 1, 0.587
10.48, 79.10, 100.52, -146.59, 3.00, 1, 0.589
10.49, 79.06, 99.70, -144.43, 3.00, 1, 0.591
10.50, 79.02, 98.88, -142.31, 3.00, 1, 0.593
10.51, 78.98, 98.08, -140.22, 3.00, 1, 0.594
10.52, 78.94, 97.30, -138.16, 3.00, 1, 0.596
10.53, 78.90, 96.52, -136.12, 3.00, 1, 0.598
10.54, 78.86, 95.75, -134.12, 3.00, 1, 0.600
10.55, 78.82, 94.99, -132.15, 3.00, 1, 0.602
10.56, 78.77, 94.25, -130.21, 3.00, 1, 0.603
10.57, 78.73, 93.51, -128.29, 3.00, 1, 0.605
10.58, 78.69, 92.79, -126.41, 3.00, 1, 0.607
10.59, 78.64, 92.07, -124.55, 3.00, 1, 0.609
10.60, 78.60, 91.37, -122.72, 3.00, 1, 0.610
10.61, 78.55, 90.67, -120.91, 3.00, 1, 0.612
10.62, 78.50, 89.98, -119.13, 3.00, 1, 0.614
10.63, 78.45, 89.31, -117.38, 3.00, 1, 0.616
10.64, 78.40, 88.64, -115.66, 3.00, 1, 0.617
10.65, 78.36, 87.98, -113.96, 3.00, 1, 0.619
10.66, 78.30, 87.33, -112.28, 3.00, 1, 0.621
10.67, 78.25, 86.69, -110.63, 3.00, 1, 0.623
10.68, 78.20, 86.06, -109.01, 3.00, 1, 0.624
10.69, 78.15, 85.44, -107.40, 3.00, 1, 0.626
10.70, 78.10, 84.82, -105.83, 3.00, 1, 0.628
10.71, 78.04, 84.21, -104.27, 3.00, 1, 0.629
10.72, 77.99, 83.62, -102.74, 3.00, 1, 0.631
10.73, 77.93, 83.03, -101.23, 3.00, 1, 0.633
10.74, 77.88, 82.45, -99.75, 3.00, 1, 0.635
10.75, 77.82, 81.87, -98.29, 3.00, 1, 0.636
10.76, 77.76, 81.31, -96.85, 3.00, 1, 0.638
10.77, 77.70, 80.75, -95.43, 3.00, 1, 0.640
10.78, 77.65, 80.20, -94.03, 3.00, 1, 0.641
10.79, 77.59, 79.65, -92.65, 3.00, 1, 0.643
10.80, 77.53, 79.12, -91.30, 3.00, 1, 0.645
10.81, 77.47, 78.59, -89.96, 3.00, 1, 0.646
10.82, 77.40, 78.07, -88.64, 3.00, 1, 0.648
10.83, 77.34, 77.55, -87.35, 3.00, 1, 0.649
10.84, 77.28, 77.04, -86.07, 3.00, 1, 0.651
10.85, 77.21, 76.54, -84.82, 3.00, 1, 0.653
10.86, 77.15, 76.05, -83.58, 3.00, 1, 0.654
10.87, 77.09, 75.56, -82.36, 3.00, 1, 0.656
10.88, 77.02, 75.08, -81.16, 3.00, 1, 0.658
10.89, 76.95, 74.60, -79.98, 3.00, 1, 0.659
10.90, 76.89, 74.13, -78.82, 3.00, 1, 0.661
10.91, 76.82, 73.67, -77.67, 3.00, 1, 0.662
10.92, 76.75, 73.22, -76.55, 3.00, 1, 0.664
10.93, 76.68, 72.76, -75.43, 3.00, 1, 0.665
10.94, 76.61, 72.32, -74.34, 3.00, 1, 0.667
10.95, 76.54, 71.88, -73.27, 3.00, 1, 0.669
10.96, 76.47, 71.45, -72.21, 3.00, 1, 0.670
10.97, 76.40, 71.02, -71.16, 3.00, 1, 0.672
10.98, 76.33, 70.60, -70.14, 3.00, 1, 0.673
10.99, 76.25, 70.18, -69.12, 3.00, 1, 0.675
11.00, 76.18, 69.77, -68.13, 3.00, 1, 0.676
11.01, 76.11, 69.37, -67.15, 3.00, 1, 0.678
11.02, 76.03, 68.97, -66.18, 3.00, 1, 0.679
11.03, 75.96, 68.57, -65.23, 3.00, 1, 0.681
11.04, 75.88, 68.18, -64.30, 3.00, 1, 0.682
11.05, 75.80, 67.80, -63.38, 3.00, 1, 0.684
11.06, 75.73, 67.42, -62.47, 3.00, 1, 0.685
11.07, 75.65, 67.04, -61.58, 3.00, 1, 0.687
11.08, 75.57, 66.67, -60.71, 3.00, 1, 0.688
11.09, 75.49, 66.30, -59.84, 3.00, 1, 0.690
11.10, 75.41, 65.94, -58.99, 3.00, 1, 0.691
11.11, 75.33, 65.59, -58.16, 3.00, 1, 0.693
11.12, 75.25, 65.23, -57.33, 3.00, 1, 0.694
11.13, 75.17, 64.89, -56.53, 3.00, 1, 0.696
11.14, 75.09, 64.54, -55.73, 3.00, 1, 0.697
11.15, 75.00, 64.20, -54.94, 3.00, 1, 0.698
11.16, 74.92, 63.87, -54.17, 3.00, 1, 0.700
11.17, 74.83, 63.54, -53.41, 3.00, 1, 0.701
11.18, 74.75, 63.21, -52.67, 3.00, 1, 0.703
11.19, 74.67, 62.89, -51.93, 3.00, 1, 0.704
11.20, 74.58, 62.57, -51.21, 3.00, 1, 0.705
11.21, 74.49, 62.25, -50.50, 3.00, 1, 0.707
11.22, 74.41, 61.94, -49.80, 3.00, 1, 0.708
11.23, 74.32, 61.64, -49.11, 3.00, 1, 0.709
11.24, 74.23, 61.33, -48.43, 3.00, 1, 0.711
11.25, 74.14, 61.03, -47.77, 3.00, 1, 0.712
11.26, 74.05, 60.73, -47.11, 3.00, 1, 0.713
11.27, 73.96, 60.44, -46.47, 3.00, 1, 0.715
11.28, 73.87, 60.15, -45.83, 3.00, 1, 0.716
11.29, 73.78, 59.87, -45.21, 3.00, 1, 0.717
11.30, 73.69, 59.58, -44.60, 3.00, 1, 0.719
11.31, 73.60, 59.30, -43.99, 3.00, 1, 0.720
11.32, 73.51, 59.03, -43.40, 3.00, 1, 0.721
11.33, 73.41, 58.75, -42.82, 3.00, 1, 0.723
11.34, 73.32, 58.48, -42.24, 3.00, 1, 0.724
11.35, 73.23, 58.22, -41.68, 3.00, 1, 0.725
11.36, 73.13, 57.95, -41.12, 3.00, 1, 0.726
11.37, 73.04, 57.69, -40.58, 3.00, 1, 0.728
11.38, 72.94, 57.43, -40.04, 3.00, 1, 0.729
11.39, 72.85, 57.18, -39.52, 3.00, 1, 0.730
11.40, 72.75, 56.93, -39.00, 3.00, 1, 0.731
11.41, 72.65, 56.68, -38.49, 3.00, 1, 0.732
11.42, 72.55, 56.43, -37.99, 3.00, 1, 0.734
11.43, 72.46, 56.19, -37.49, 3.00, 1, 0.735
11.44, 72.36, 55.95, -37.01, 3.00, 1, 0.736
11.45, 72.26, 55.71, -36.53, 3.00, 1, 0.737
11.46, 72.16, 55.47, -36.07, 3.00, 1, 0.738
11.47, 72.06, 55.24, -35.61, 3.00, 1, 0.739
11.48, 71.96, 55.01, -35.16, 3.00, 1, 0.740
11.49, 71.86, 54.78, -34.71, 3.00, 1, 0.742
11.50, 71.76, 54.55, -34.27, 3.00, 1, 0.743
11.51, 71.65, 54.33, -33.85, 3.00, 1, 0.744
11.52, 71.55, 54.11, -33.42, 3.00, 1, 0.745
11.53, 71.45, 53.89, -33.01, 3.00, 1, 0.746
11.54, 71.35, 53.67, -32.60, 3.00, 1, 0.747
11.55, 71.24, 53.46, -32.20, 3.00, 1, 0.748
11.56, 71.14, 53.24, -31.81, 3.00, 1, 0.749
11.57, 71.03, 53.03, -31.43, 3.00, 1, 0.750
11.58, 70.93, 52.83, -31.05, 3.00, 1, 0.751
11.59, 70.82, 52.62, -30.67, 3.00, 1, 0.752
11.60, 70.72, 52.42, -30.31, 3.00, 1, 0.753
11.61, 70.61, 52.21, -29.95, 3.00, 1, 0.754
11.62, 70.50, 52.01, -29.60, 3.00, 1, 0.755
11.63, 70.40, 51.81, -29.25, 3.00, 1, 0.756
11.64, 70.29, 51.62, -28.91, 3.00, 1, 0.757
11.65, 70.18, 51.42, -28.57, 3.00, 1, 0.758
11.66, 70.07, 51.23, -28.25, 3.00, 1, 0.759
11.67, 69.96, 51.04, -27.92, 3.00, 1, 0.760
11.68, 69.85, 50.85, -27.61, 3.00, 1, 0.761
11.69, 69.75, 50.66, -27.30, 3.00, 1, 0.762
11.70, 69.64, 50.48, -26.99, 3.00, 1, 0.763
11.71, 69.52, 50.29, -26.69, 3.00, 1, 0.764
11.72, 69.41, 50.11, -26.40, 3.00, 1, 0.765
11.73, 69.30, 49.93, -26.11, 3.00, 1, 0.766
11.74, 69.19, 49.75, -25.82, 3.00, 1, 0.766
11.75, 69.08, 49.57, -25.55, 3.00, 1, 0.767
11.76, 68.97, 49.40, -25.27, 3.00, 1, 0.768
11.77, 68.86, 49.22, -25.01, 3.00, 1, 0.769
11.78, 68.74, 49.05, -24.74, 3.00, 1, 0.770
11.79, 68.63, 48.88, -24.48, 3.00, 1, 0.771
11.80, 68.52, 48.71, -24.23, 3.00, 1, 0.771
11.81, 68.40, 48.54, -23.98, 3.00, 1, 0.772
11.82, 68.29, 48.37, -23.74, 3.00, 1, 0.773
11.83, 68.17, 48.21, -23.50, 3.00, 1, 0.774
11.84, 68.06, 48.04, -23.26, 3.00, 1, 0.775
11.85, 67.94, 47.88, -23.03, 3.00, 1, 0.775
11.86, 67.83, 47.72, -22.81, 3.00, 1, 0.776
11.87, 67.71, 47.56, -22.58, 3.00, 1, 0.777
11.88, 67.60, 47.40, -22.37, 3.00, 1, 0.778
11.89, 67.48, 47.24, -22.15, 3.00, 1, 0.778
11.90, 67.36, 47.08, -21.94, 3.00, 1, 0.779
11.91, 67.25, 46.93, -21.74, 3.00, 1, 0.780
11.92, 67.13, 46.77, -21.54, 3.00, 1, 0.780
11.93, 67.01, 46.62, -21.34, 3.00, 1, 0.781
11.94, 66.89, 46.47, -21.15, 3.00, 1, 0.782
11.95, 66.77, 46.32, -20.96, 3.00, 1, 0.782
11.96, 66.66, 46.17, -20.77, 3.00, 1, 0.783
11.97, 66.54, 46.02, -20.59, 3.00, 1, 0.784
11.98, 66.42, 45.87, -20.41, 3.00, 1, 0.784
11.99, 66.30, 45.72, -20.23, 3.00, 1, 0.785
12.00, 66.18, 45.58, -20.06, 3.00, 1, 0.785
12.01, 66.06, 45.43, -19.89, 3.00, 1, 0.786
12.02, 65.94, 45.29, -19.73, 3.00, 1, 0.786
12.03, 65.82, 45.14, -19.56, 3.00, 1, 0.787
12.04, 65.70, 45.00, -19.41, 3.00, 1, 0.788
12.05, 65.58, 44.86, -19.25, 3.00, 1, 0.788
12.06, 65.46, 44.72, -19.10, 3.00, 1, 0.789
12.07, 65.34, 44.58, -18.95, 3.00, 1, 0.789
12.08, 65.22, 44.44, -18.80, 3.00, 1, 0.790
12.09, 65.10, 44.30, -18.66, 3.00, 1, 0.790
12.10, 64.97, 44.17, -18.52, 3.00, 1, 0.791
